ko_word,en_word,romanized_word
했는데,I did it,haetneunde
필요해,I need it,pilyohae
아니요,no,aniyo
적이,enemy,jeoki
있나요,Do you have it?,itnayo
갖고,have,gatgo
돈을,money,doneul
주세요,please,juseyo
어디서,where,eodiseo
것이,It is,geoti
거요,Yes,geoyo
위한,for,wihan
것은,The thing is,geoteun
없이,without,eobi
나중에,later,najunge
아버지,father,abeoji
나랑,With me,narang
됐어요,That's it,dwaeteoyo
마세요,Don't do it,maseyo
차,car,cha
언제,when,eonje
그저,just,geujeo
생각,thought,saenggak
했지,I did it,haetji
봤어,I saw it,bwateo
해서,So,haeseo
시간을,time,siganeul
마지막,last,majimak
알겠어,okay,algeteo
왜냐면,Because,waenyamyeon
위해서,for the sake of,wihaeseo
엄청,Very,eomcheong
알겠습니다,All right,algetseubnida
오래,long time,orae
기다려,wait,gidaryeo
아닙니다,no,anibnida
있는지,Is there,itneunji
알겠어요,all right,algeteoyo
제일,most,jeil
지난,past,jinan
그렇죠,That's right,geureotjyo
죽은,dead,jukeun
제대로,properly,jedaero
아니지,No,aniji
있다면,if there is,itdamyeon
보면,If you look,bomyeon
우리를,us,urireul
짓을,do,jiteul
남자,man,namja
너가,you are,neoga
있다는,There is,itdaneun
누구,who,nugu
보여,I see it,boyeo
왔어요,came,wateoyo
너한테,To you,neohante
여러분,everyone,yeoreobun
완전히,completely,wanjeonhi
너의,your,neoui
것이다,will,geotida
밤,night,bam
소리,sound,sori
없지,No,eobji
벌써,already,beolsseo
모르겠어요,I don't know,moreugeteoyo
말이지,That's right,maliji
올,all,ol
사람들을,people,saramdeuleul
처음,first,cheoeum
말이죠,I mean,malijyo
사람들,people,saramdeul
그녀의,her,geunyeoui
멋진,wonderful,meotjin
왜요,why,waeyo
정말로,really,jeongmalro
이름은,The name is,ireumeun
와서,come,waseo
대해서,About,daehaeseo
여보,honey,yeobo
조금,little,jogeum
않았어,I didn't,anateo
말이에요,I mean,malieyo
이름이,The name is,ireumi
여보세요,hello,yeoboseyo
서로,each other,seoro
안돼요,No,andwaeyo
죽을,dying,jukeul
첫,first,cheot
매우,very,maeu
사랑해,love you,saranghae
오늘은,today,oneuleun
싶은,want to,sipeun
어디로,where,eodiro
단지,only,danji
아닌,not,anin
나가,get out,naga
뿐이야,It's just,ppuniya
미안,sorry,mian
확실히,surely,hwaksilhi
싶어요,I want to,sipeoyo
죄송합니다,sorry,joesonghabnida
때까지,until,ttaekkaji
없고,There is no,eobgo
어때요,how is it,eottaeyo
살,fat,sal
당연히,of course,dangyeonhi
데리고,along,derigo
필요한,necessary,pilyohan
없다,does not exist,eobda
후,after,hu
가고,good night,gago
글쎄,well,geulsse
않는,doesn't,anneun
했죠,I did it,haetjyo
나의,my,naui
별로,not really,byeolro
않은,not,aneun
라고,says,rago
집,house,jib
여전히,still,yeojeonhi
없을,There won't be,eobeul
딱,Just,ttak
있어서,Because,iteoseo
이야기,story,iyagi
엄마는,Mom is,eommaneun
부인,ma'am,buin
하는데,I'm doing it,haneunde
않고,Without,ango
알았지,Okay,alatji
아니고,No,anigo
여자가,the woman,yeojaga
문,door,mun
되지,No,doeji
거기서,thereupon,geogiseo
훨씬,by far,hwolssin
아버지가,my father,abeojiga
망할,damn,manghal
뭔지,What is it,mwonji
손,hand,son
수술,surgery,susul
듣고,listen,deutgo
어쩌면,perhaps,eojjeomyeon
보세요,look,boseyo
생각이,thought,saenggaki
어느,any,eoneu
그러지,That's right,geureoji
되면,If it happens,doemyeon
아마도,maybe,amado
준비,preparation,junbi
전화,phone call,jeonhwa
뒤에,behind,dwie
도대체,earthly,dodaeche
너를,thee,neoreul
당신도,You too,dangsindo
것처럼,As if,geotcheoreom
않으면,If not,aneumyeon
말하는,talking,malhaneun
최고의,top,choegoui
말하지,tell me,malhaji
세,count,se
모르는,strange,moreuneun
유일한,only,yuilhan
갑자기,suddenly,gabjagi
이봐요,Hey,ibwayo
건가요,Are you sure,geongayo
없다고,There is no,eobdago
것입니다,will,geotibnida
있잖아요,"You know,",itjanayo
되고,become,doego
어쨌든,anyway,eojjaetdeun
가진,with,gajin
이번,this time,ibeon
뭐하는,What are you doing,mwohaneun
후에,later,hue
친구가,friend,chinguga
지,ji,ji
신경,nerves,singyeong
그만해,stop,geumanhae
누구야,who is this,nuguya
당신에게,to you,dangsinege
늘,always,neul
없었어,There wasn't,eobeoteo
그들을,them,geudeuleul
있게,have,itge
알잖아,You know,aljana
누군가,anyone,nugunga
분명히,clearly,bunmyeonghi
생각을,think,saenggakeul
존,zone,jon
일단,first,ildan
가야,Gaya,gaya
걱정,worry,geokjeong
보자,see,boja
매일,everyday,maeil
수는,The number is,suneun
아침,morning,achim
말할,say,malhal
말아요,Roll it up,malayo
모두가,everyone,moduga
않았어요,I didn't,anateoyo
얘기를,talk,yaegireul
봤어요,I saw it,bwateoyo
대신,instead,daesin
마치,like,machi
건데,It's going to be,geonde
자넨,you,janen
했잖아,You did it,haetjana
둘이,Two of us,duli
당신과,with you,dangsingwa
집으로,home,jibeuro
한다,do,handa
두고,Leave it,dugo
이름을,name,ireumeul
있네,There is,itne
그들의,their,geudeului
뭔데,What is it,mwonde
금방,right away,geumbang
사는,live,saneun
좋아하는,favorite,jotahaneun
찾을,find,chateul
맘에,I like it,mame
결국,at last,gyeolguk
이유가,the reason,iyuga
필요해요,I need it,pilyohaeyo
중에,During,junge
그때,at that time,geuttae
보는,seeing,boneun
너랑,With you,neorang
아이를,child,aireul
없잖아,There isn't any,eobjana
한다고,I do it,handago
기분,mood,gibun
하게,do it,hage
놈이,This guy,nomi
못해,I can't,mothae
우리에게,to us,uriege
가면,mask,gamyeon
저를,me,jeoreul
잡아,catch,jaba
집에서,at home,jibeseo
우리도,We too,urido
기분이,I feel like,gibuni
저희,us,jeohui
찾고,looking for,chatgo
손을,hands,soneul
거다,It's going to happen,geoda
어제,yesterday,eoje
남자가,the man,namjaga
뭐지,what,mwoji
앞으로,from now on,apeuro
잠깐만요,Wait a minute,jamkkanmanyo
자신의,own,jasinui
애가,keen,aega
이상한,weird,isanghan
막,membrane,mak
먹고,eat,meokgo
아이,kid,ai
언제나,always,eonjena
여기가,Here,yeogiga
아들,son,adeul
알게,get to know,alge
하세요,do,haseyo
총,gun,chong
스스로,self,seuseuro
방법이,There is a way,bangbeobi
있던,there was,itdeon
해봐,Try it,haebwa
아님,Not,anim
때가,It's time,ttaega
아니죠,Nope,anijyo
했던,did,haetdeon
조용히,quietly,joyonghi
밤에,at night,bame
미친,crazy,michin
텐데,It would be,tende
머리,head,meori
않습니다,does not,anseubnida
잘못,wrong,jalmot
고맙습니다,Thank you,gomabseubnida
있어야,Must be,iteoya
왜냐하면,because,waenyahamyeon
앉아,sit,ana
아침에,in the morning,achime
죽일,kill,jukil
환자,patient,hwanja
양,sheep,yang
없죠,There is no,eobjyo
일어나,wake up,ileona
믿을,trustworthy,miteul
같네요,Looks like,gatneyo
건가,Is it dry?,geonga
게다가,furthermore,gedaga
알렉스,alex,alrekseu
타고,riding,tago
데,place,de
들었어,I heard,deuleoteo
눈을,eyes,nuneul
나에게,to me,naege
없었어요,There wasn't,eobeoteoyo
만나서,meet,mannaseo
진정해,calm down,jinjeonghae
이것,this,igeot
더이상,anymore,deoisang
보지,pussy,boji
방법을,way,bangbeobeul
원래,usually,wonrae
솔직히,to be honest,soljikhi
좋지,Good,jotji
하려고,with a view to,haryeogo
빌어먹을,Damn it,bileomeokeul
총을,gun,chongeul
길을,the road,gileul
누군지,who is,nugunji
아니라고,no,anirago
자신을,yourself,jasineul
여길,This way,yeogil
있지만,Although there is,itjiman
얼른,quickly,eolreun
얘들아,Guys,yaedeula
대로,boulevard,daero
만든,made,mandeun
놈,bloke,nom
조심해,be careful,josimhae
일에,at work,ile
따라,according to,ttara
술,alcohol,sul
정확히,accurately,jeonghwakhi
자기가,Baby,jagiga
충분히,enough,chungbunhi
힘을,strength,himeul
아저씨,mister,ajeossi
알겠지,Okay,algetji
있었는데,There was,iteotneunde
사랑하는,loving,saranghaneun
기다리고,waiting,gidarigo
될거야,It will be,doelgeoya
살아,alive,sala
평생,lifetime,pyeongsaeng
아까,a moment ago,akka
얘야,sonny,yaeya
눈,eye,nun
거기에,there,geogie
애,baby,ae
분명,clearly,bunmyeong
말하고,speaking,malhago
역시,also,yeoksi
저희가,We,jeohuiga
찾아,find,chata
걔가,He,gyaega
이럴,Oh no,ireol
저기요,hey,jeogiyo
너와,with you,neowa
될까요,Will it happen?,doelkkayo
천천히,slowly,cheoncheonhi
문제,problem,munje
수술을,surgery,susuleul
좋았어,It was good,jotateo
어디에,where,eodie
문을,open the door,muneul
맞지,That's right,matji
어딨어,Where are you?,eoditeo
조지,george,joji
아녜요,No,anyeyo
저녁,dinner,jeonyeok
됩니다,It will be done,doebnida
마요,Mayo,mayo
생각엔,I think,saenggaken
만들어,make it,mandeuleo
적어도,at least,jeokeodo
애들,kids,aedeul
개,dog,gae
잘했어,good job,jalhaeteo
그러나,however,geureona
주,main,ju
괜찮은,decent,gwaenchaneun
생각은,Thought,saenggakeun
위에,above,wie
가끔,sometimes,gakkeum
있었던,there was,iteotdeon
간,liver,gan
잠시,for a moment,jamsi
알아서,Take care of it,alaseo
곳에,where,gote
집을,house,jibeul
그렇지만,but,geureotjiman
그레이,gray,geurei
그럼요,sure,geureomyo
삶을,life,salmeul
마음에,in my heart,maeume
살고,live,salgo
들고,carrying,deulgo
분,minute,bun
그랬어,I did,geuraeteo
차를,tea,chareul
옆에,next to,yeope
아이가,The child,aiga
이번엔,This time,ibeonen
저게,That's it,jeoge
아빠는,Dad is,appaneun
괜찮을,It'll be okay,gwaenchaneul
하자,let's do it,haja
알았는데,I thought,alatneunde
생각해요,I think,saenggakhaeyo
없는데,I don't have it,eobneunde
생각하는,thinking,saenggakhaneun
아니잖아,It's not,anijana
마지막으로,finally,majimakeuro
여자를,woman,yeojareul
죽었어,dead,jukeoteo
멍청한,stolid,meongcheonghan
훌륭한,excellent,hulryunghan
있었지,There was,iteotji
정도,degree,jeongdo
베일리,bailey,beilri
준비가,ready,junbiga
남은,remainder,nameun
있으니까,Because there is,iteunikka
싫어요,"no, I do not want",sileoyo
입니다,no see,ibnida
영원히,forever,yeongwonhi
엄청난,exorbitant,eomcheongnan
정신,spirit,jeongsin
는,Is,neun
계세요,Are you there?,gyeseyo
하는지,Do you do it?,haneunji
좋을,good,joteul
있었죠,There was,iteotjyo
간다,Going,ganda
기회를,opportunity,gihoereul
그대로,like that,geudaero
하나도,Not even one,hanado
멈춰,stop,meomchwo
필요가,need,pilyoga
도와줘,help me,dowajwo
다음에,next time,daeume
앞에서,in front,apeseo
뭐든,whatever,mwodeun
물,water,mul
밖으로,out,bakeuro
오는,coming,oneun
그렇다면,then,geureotdamyeon
미국,USA,miguk
말라고,Don't tell me,malrago
하지마,don't,hajima
서,west,seo
말한,said,malhan
테니까,Because,tenikka
앞에,in front,ape
를,cast,reul
처럼,like,cheoreom
저한테,To me,jeohante
거고,That's it,geogo
받아,take it,bata
그것도,That too,geugeotdo
요즘,recently,yojeum
믿어,believe it,miteo
뒤로,back,dwiro
놈들이,They,nomdeuli
입고,store,ibgo
보니,Bonnie,boni
속에,into,soke
잠시만요,wait a minute,jamsimanyo
소리야,It's a sound,soriya
들어봐,Listen,deuleobwa
자기야,babe,jagiya
헤이,hey,hei
에,to,e
이해가,I understand,ihaega
옷,clothes,ot
들어가,Go in,deuleoga
아버지는,my father,abeojineun
않을거야,won't,aneulgeoya
있소,There is,itso
자네는,you,janeneun
모르겠지만,"I don't know, but",moreugetjiman
누구도,no one,nugudo
입,mouth,ib
어머니,mother,eomeoni
특별한,special,teukbyeolhan
좋겠어,I hope so,jotgeteo
준,June,jun
그것은,that,geugeoteun
관한,about,gwanhan
할게,I'll do it,halge
여기는,here,yeogineun
언니,sister,eonni
환자가,the patient,hwanjaga
갈게,I'll go,galge
나야,it's me,naya
제게,To me,jege
하루,day,haru
단,step,dan
필,Phil,pil
가세요,Go,gaseyo
끔찍한,terrible,kkeumjjikhan
걸로,Girl,geolro
사랑,love,sarang
일도,work,ildo
아름다운,beautiful,areumdaun
년,year,nyeon
형,brother,hyeong
뭐요,What,mwoyo
저런,Like that,jeoreon
별,star,byeol
아니다,no,anida
받고,under,batgo
할거야,I will do it,halgeoya
쓸,write,sseul
씨발,fuck,ssibal
돈이,money,doni
그에게,to him,geuege
뭔가를,something,mwongareul
마음을,heart,maeumeul
문제는,The problem is,munjeneun
의,of,ui
서둘러,hurry up,seodulreo
못할,can't,mothal
없네,There is none,eobne
끝났어,It's over,kkeutnateo
있을거야,There will be,iteulgeoya
머리를,head,meorireul
생각하지,don't think,saenggakhaji
뭐라고요,What?,mworagoyo
힘든,awkward,himdeun
보게,see,boge
가게,store,gage
말해봐,say it,malhaebwa
밥,rice,bab
상황이,situation,sanghwangi
줘요,Give it to me,jwoyo
만큼,by,mankeum
했지만,I did it but,haetjiman
같은데요,I think so,gateundeyo
이름,name,ireum
엄마를,Mom,eommareul
전화를,call,jeonhwareul
어쩔,What to do,eojjeol
있니,Are you there?,itni
번째,th,beonjjae
할까,Should I do it?,halkka
얘길,story,yaegil
찾는,looking for,chatneun
선생님이,teacher,seonsaengnimi
진짜로,really,jinjjaro
일이에요,It's work,ilieyo
건지,Guernsey,geonji
가족을,family,gajokeul
할지,Do you do it?,halji
중이야,I'm in the middle of it,jungiya
믿지,believe it,mitji
닥쳐,shut up,dakchyeo
여기로,here,yeogiro
저건,That is,jeogeon
주고,give,jugo
멀리,far,meolri
어이,hey,eoi
거짓말,lie,geojitmal
약,approximately,yak
잭,jack,jaek
사실은,in fact,sasileun
받을,receive,bateul
그러고,And then,geureogo
겁니까,Are you afraid?,geobnikka
먹을,eat,meokeul
그치만,But,geuchiman
너에게,to you,neoege
들었어요,I heard,deuleoteoyo
하기,do,hagi
오빠,brother,oppa
오고,Coming,ogo
있을까,Is it there?,iteulkka
어린,young,eorin
통해,through,tonghae
아닌데,It's not,aninde
조금만,just a little,jogeumman
맞는,fit,matneun
차에,in the car,chae
여자는,The woman,yeojaneun
보러,to see,boreo
손에,in hand,sone
모르지,I don't know,moreuji
가까이,near,gakkai
테니,Teni,teni
되죠,It works,doejyo
점점,increasingly,jeomjeom
잔,glass,jan
이야기를,tell a story,iyagireul
물론이죠,Of course,mulronijyo
학교,school,hakgyo
주는,giving,juneun
아가씨,miss,agassi
먹어,eat,meokeo
것에,to,geote
크게,big,keuge
이유는,The reason is,iyuneun
군,army,gun
모두들,everyone,modudeul
죽인,killed,jukin
셋,three,set
알죠,I know,aljyo
기억,memory,gieok
경찰,police,gyeongchal
제이,Jay,jei
그래야,so that,geuraeya
목숨을,life,moksumeul
있을까요,Is it there?,iteulkkayo
아니지만,Although it is not,anijiman
했다,did,haetda
딸,daughter,ttal
많아,There are a lot,mana
떨어져,away,tteoleojyeo
사람이야,It's a person,saramiya
다시는,never again,dasineun
거잖아,That's right,geojana
애들이,kids,aedeuli
애를,I'm struggling,aereul
을,second,eul
말이다,That's right,malida
없다는,There is no,eobdaneun
만들,make,mandeul
오면,When you come,omyeon
할게요,I will do it,halgeyo
아기,baby,agi
영화,movie,yeonghwa
가족,family,gajok
찾았어,I found it,chatateo
특히,especially,teukhi
아들을,son,adeuleul
제발요,Please,jebalyo
꿈을,dream,kkumeul
세상을,the world,sesangeul
놈을,The guy,nomeul
아니었어,It wasn't,anieoteo
마이크,mike,maikeu
그리,picture,geuri
무엇을,what,mueoteul
만드는,fabricated,mandeuneun
얼마,how much,eolma
보여요,I can see it,boyeoyo
사진,picture,sajin
칼,knife,kal
잠시만,for a moment,jamsiman
병원에,to the hospital,byeongwone
같습니다,It's the same,gatseubnida
바보,fool,babo
